Date,Open,High,Low,Close,Adj Close,Volume,Matdiff,,Maturity date
21/04/2020,6.1,6.26,6.03,6.08,6.08,6791300,52,,
22/04/2020,6.15,6.17,6.06,6.09,6.09,4357400,51,,
23/04/2020,6.1,6.41,6.08,6.18,6.18,5646100,50,,
24/04/2020,6.08,6.1,5.83,5.95,5.95,6439800,49,,
27/04/2020,6.47,6.73,6.43,6.69,6.69,9091600,46,,
28/04/2020,6.94,6.97,6.77,6.85,6.85,7676000,45,,
29/04/2020,7.48,7.76,7.41,7.67,7.67,12885500,44,,
30/04/2020,7.32,7.52,7.17,7.41,7.41,6192900,43,,
01/05/2020,7.3,7.3,7.1,7.15,7.15,5636500,42,,
04/05/2020,7.04,7.18,7,7.05,7.05,7268500,39,,
05/05/2020,7.09,7.14,6.95,6.97,6.97,4709600,38,,
06/05/2020,7.04,7.06,6.79,6.8,6.8,5273300,37,,
07/05/2020,6.97,7.12,6.97,6.99,6.99,5227100,36,,
08/05/2020,7.12,7.15,7.05,7.13,7.13,2759100,35,,
11/05/2020,6.93,6.97,6.83,6.93,6.93,4329300,32,,
12/05/2020,7.02,7.12,6.9,6.91,6.91,5591800,31,,
13/05/2020,6.82,6.82,6.53,6.6,6.6,5082200,30,,
14/05/2020,6.37,6.68,6.25,6.66,6.66,5277200,29,,
15/05/2020,6.47,6.5,6.4,6.44,6.44,5979700,28,,
18/05/2020,6.94,7.17,6.88,7.13,7.13,8496300,25,,
19/05/2020,7.15,7.22,7.04,7.06,7.06,7553200,24,,
20/05/2020,7.35,7.57,7.34,7.51,7.51,6452700,23,,
21/05/2020,7.42,7.5,7.33,7.36,7.36,2832100,22,,
22/05/2020,7.4,7.42,7.28,7.32,7.32,3174900,21,,
26/05/2020,7.96,8.28,7.96,8.21,8.21,9982500,17,,
27/05/2020,8.59,8.68,8.4,8.68,8.68,9086200,16,,
28/05/2020,8.72,8.78,8.49,8.51,8.51,8666600,15,,
29/05/2020,8.46,8.53,8.33,8.4,8.4,5230600,14,,
01/06/2020,8.47,8.72,8.44,8.69,8.69,4254100,11,,
02/06/2020,8.91,9.01,8.84,8.9,8.9,6240400,10,,
03/06/2020,8.97,9.26,8.94,9.22,9.22,7084000,9,,
04/06/2020,9.36,9.62,9.29,9.49,9.49,8666600,8,,
05/06/2020,9.87,9.9,9.67,9.69,9.69,8949300,7,,
08/06/2020,10.33,10.4,10.02,10.2,10.2,10254500,4,,
09/06/2020,9.81,9.91,9.64,9.82,9.82,7490300,3,,
