Date,Open,High,Low,Close,Adj Close,Volume
03/02/2020,33.560001,34.34,33.52,33.720001,33.313606,17937100
04/02/2020,34.349998,34.82,34.200001,34.369999,33.955772,14346300
05/02/2020,34.900002,35.450001,34.189999,35.029999,34.607819,19050400
06/02/2020,35.049999,35.099998,34.25,34.330002,33.916256,11866300
07/02/2020,34.080002,34.16,33.419998,33.630001,33.224693,14437100
10/02/2020,33.990002,34.299999,33.669998,34.25,33.837219,12260600
11/02/2020,34.34,35.259998,34.07,35.009998,34.588058,12718600
12/02/2020,35.330002,35.790001,35.130001,35.490002,35.062275,12076300
13/02/2020,35.209999,35.529999,35.16,35.290001,34.864685,7578400
14/02/2020,35.299999,35.389999,34.419998,34.759998,34.341072,8946000
18/02/2020,34.25,34.740002,33.959999,34.41,33.995289,10531000
19/02/2020,34.529999,35.099998,34.52,34.919998,34.499142,9079500
20/02/2020,34.66,35.400002,34.59,35.290001,34.864685,7817900
21/02/2020,34.990002,35.080002,34.41,34.650002,34.232399,8431500
24/02/2020,33.639999,33.75,32.790001,33.09,32.6912,14743100
25/02/2020,33.25,33.279999,31.4,31.75,31.36735,14621900
26/02/2020,32.099998,32.610001,31.889999,32,31.614336,14421900
27/02/2020,31.299999,31.92,30.549999,30.709999,30.339882,14934500
28/02/2020,29.780001,30.5,29.33,30.5,30.132414,20832300
02/03/2020,30.52,31.450001,29.74,31.42,31.041327,14994600
03/03/2020,31.5,32.299999,30.26,30.52,30.152174,15816200
04/03/2020,31,31.57,30.360001,31.530001,31.150002,16227800
05/03/2020,30.540001,30.77,30.01,30.1,30.1,17921300
06/03/2020,29.209999,29.540001,28.450001,28.690001,28.690001,20009500
09/03/2020,26,26.120001,24.15,24.690001,24.690001,28350600
10/03/2020,25.98,27.139999,24.59,27.120001,27.120001,18287700
11/03/2020,26,26.620001,25.76,26,26,21309700
12/03/2020,23.6,24.35,22.5,23.040001,23.040001,20344500
13/03/2020,24.6,25.33,22.9,24.709999,24.709999,17909800
16/03/2020,21.51,22.41,21,21,21,18056800
17/03/2020,21.309999,21.58,19.5,20.32,20.32,23544400
18/03/2020,18.83,19.049999,14.33,16.799999,16.799999,39591100
19/03/2020,16.34,18.99,15,17.709999,17.709999,34361800
20/03/2020,18.42,18.959999,17.68,18.139999,18.139999,35702000
23/03/2020,18.01,18.559999,17.23,17.6,17.6,25419700
24/03/2020,19.32,21.67,18.6,21.110001,21.110001,24082900
25/03/2020,23,23.15,21,21.49,21.49,27617200
26/03/2020,21.639999,22.969999,21.059999,22.559999,22.559999,16959000
27/03/2020,21.370001,21.959999,20.74,21.379999,21.379999,18349700
30/03/2020,22.309999,22.48,20.629999,21.32,21.32,18477800
31/03/2020,20.969999,22.209999,20.549999,20.780001,20.780001,20303000
01/04/2020,19.5,20.17,18.99,19.26,19.26,17467100
02/04/2020,19.1,19.690001,17.790001,18.190001,18.190001,17920600
03/04/2020,18.4,18.780001,17.85,18.040001,18.040001,13835500
06/04/2020,19.1,19.76,18.549999,19.549999,19.549999,22442100
07/04/2020,21.27,22.209999,20.709999,21.299999,21.299999,30405600
08/04/2020,21.74,23.6,21.469999,23.129999,23.129999,23774400
09/04/2020,24.16,24.99,23.58,24.059999,24.059999,22490500
13/04/2020,24.040001,24.1,22.719999,23.01,23.01,14802600
14/04/2020,23.6,23.77,22.67,22.98,22.98,12654700
